iter	Passed	Remaining
686	44863	20440
687	44913	20367
688	44967	20297
689	45036	20233
690	45097	20166
691	45143	20092
692	45195	20021
693	45255	19954
694	45309	19884
695	45357	19811
696	45410	19740
697	45470	19673
698	45526	19604
699	45573	19531
700	45629	19462
701	45685	19393
702	45739	19323
703	45789	19252
704	45839	19181
705	45906	19117
706	45963	19048
707	46011	18976
708	46062	18905
709	46117	18836
710	46179	18770
711	46228	18699
712	46279	18628
713	46328	18557
714	46392	18491
715	46445	18422
716	46532	18366
717	46606	18305
718	46673	18241
719	46726	18171
720	46779	18101
721	46829	18031
722	47060	18030
723	47127	17965
724	47182	17896
725	47232	17825
726	47284	17756
727	47342	17688
728	47394	17618
729	47443	17547
730	47500	17479
731	47561	17413
732	47612	17343
733	47663	17273
734	47715	17203
735	47777	17137
736	47826	17066
737	47882	16998
738	47934	16929
739	47995	16863
740	48050	16795
741	48102	16725
742	48154	16656
743	48214	16589
744	48268	16521
745	48318	16451
746	48368	16381
747	48430	16316
748	48484	16247
749	48535	16178
750	48585	16108
751	48650	16044
752	48700	15974
753	48771	15912
754	48857	15854
755	48921	15789
756	48976	15721
757	49030	15653
758	49089	15586
759	49147	15520
760	49196	15450
761	49246	15381
762	49296	15312
763	49360	15247
764	49412	15179
765	49466	15111
766	49515	15041
767	49565	14972
768	49632	14909
769	49682	14840
770	49732	14771
771	49781	14702
772	49831	14633
773	49897	14569
774	49968	14506
775	50019	14438
776	50071	14370
777	50125	14303
778	50185	14237
779	50234	14168
780	50286	14100
781	50338	14032
782	50397	13967
783	50450	13899
784	50500	13831
785	50549	13762
786	50610	13697
787	50668	13631
788	50718	13563
789	50769	13495
790	50821	13428
791	50886	13364
792	50941	13297
793	50988	13228
794	51078	13171
795	51150	13109
796	51223	13046
797	51281	12980
798	51345	12916
799	51398	12849
800	51451	12782
801	51503	12715
802	51556	12648
803	51627	12585
804	51685	12520
805	51735	12452
806	51787	12385
807	51840	12318
808	51902	12253
809	51952	12186
810	52003	12119
811	52052	12051
812	52097	11983
813	52161	11918
814	52216	11852
815	52268	11786
816	52318	11718
817	52364	11650
818	52429	11586
819	52479	11519
820	52529	11452
821	52580	11385
822	52630	11319
823	52695	11255
824	52753	11190
825	52806	11123
826	52859	11057
827	52907	10990
828	52966	10925
829	53017	10859
830	53073	10793
831	53120	10726
832	53168	10659
833	53230	10595
834	53284	10529
835	53342	10464
836	53428	10404
837	53516	10345
838	53572	10280
839	53627	10214
840	53677	10148
841	53730	10082
842	53790	10017
843	53839	9951
844	53890	9885
845	53943	9819
846	54031	9760
847	54080	9693
848	54136	9628
849	54199	9564
850	54254	9499
851	54311	9434
852	54362	9368
853	54412	9302
854	54470	9237
855	54523	9172
856	54572	9106
857	54625	9040
858	54692	8977
859	54743	8911
860	54792	8845
861	54843	8780
862	54907	8716
863	54963	8651
864	55011	8585
865	55069	8521
866	55129	8457
867	55182	8391
868	55233	8326
869	55282	8260
870	55349	8197
871	55401	8132
872	55454	8067
873	55509	8002
874	55562	7937
875	55632	7874
876	55717	7814
877	55794	7752
878	55855	7688
879	55910	7624
880	55964	7559
881	56025	7495
882	56081	7431
883	56133	7365
884	56182	7300
885	56237	7235
886	56296	7171
887	56348	7107
888	56398	7041
889	56456	6977
890	56513	6913
891	56562	6848
892	56609	6783
893	56663	6718
894	56722	6654
895	56774	6589
896	56822	6524
897	56872	6459
898	56916	6394
899	56977	6330
900	57028	6266
901	57217	6216
902	57305	6155
903	57355	6090
904	57406	6026
905	57467	5962
906	57521	5898
907	57567	5832
908	57619	5768
909	57670	5703
910	57735	5640
911	57785	5575
912	57835	5511
913	57883	5446
914	57976	5385
915	58056	5323
916	58115	5260
917	58164	5195
918	58248	5133
919	58298	5069
920	58353	5005
921	58402	4940
922	58454	4876
923	58520	4813
924	58571	4749
925	58621	4684
926	58669	4620
927	58719	4555
928	58786	4492
929	58836	4428
930	58893	4364
931	58937	4300
932	58987	4235
933	59048	4172
934	59105	4108
935	59154	4044
936	59203	3980
937	59255	3916
938	59317	3853
939	59365	3789
940	59413	3725
941	59462	3661
942	59515	3597
943	59580	3534
944	59635	3470
945	59688	3407
946	59735	3343
947	59779	3279
948	59841	3215
949	59891	3152
950	59946	3088
951	59993	3024
952	60042	2961
953	60106	2898
954	60158	2834
955	60223	2771
956	60305	2709
957	60382	2647
958	60436	2583
959	60488	2520
960	60536	2456
961	60584	2393
962	60643	2330
963	60699	2266
964	60748	2203
965	60798	2139
966	60849	2076
967	60908	2013
968	60954	1950
969	61004	1886
970	61052	1823
971	61105	1760
972	61171	1697
973	61221	1634
974	61269	1571
975	61320	1507
976	61366	1444
977	61427	1381
978	61478	1318
979	61531	1255
980	61578	1192
981	61629	1129
982	61692	1066
983	61743	1003
984	61789	940
985	61837	878
986	61886	815
987	61951	752
988	62004	689
989	62056	626
990	62102	563
991	62151	501
992	62213	438
993	62264	375
994	62316	313
995	62366	250
996	62428	187
997	62504	125
998	62590	62
999	62670	0
